ts,open,high,low,close,volume
1628740800000,4.057,4.067,3.9,3.933,186993
1628827200000,3.915,3.953,3.846,3.861,123011
1629086400000,3.833,3.988,3.817,3.946,101673
1629172800000,3.938,3.954,3.803,3.837,131222
1629259200000,3.826,3.875,3.789,3.852,95512
1629345600000,3.826,3.881,3.734,3.83,121756
1629432000000,3.863,3.951,3.833,3.851,108518
1629691200000,3.862,3.953,3.838,3.945,85497
1629777600000,3.929,3.97,3.884,3.896,57633
1629864000000,3.9,3.991,3.858,3.897,39372
1629950400000,3.917,4.217,3.896,4.184,76860
1630036800000,4.202,4.397,4.197,4.37,210959
1630296000000,4.499,4.526,4.222,4.305,167098
1630382400000,4.312,4.417,4.215,4.377,147419
1630468800000,4.403,4.706,4.378,4.615,241159
1630555200000,4.639,4.727,4.577,4.641,176845
1630641600000,4.627,4.718,4.586,4.712,110953
1630987200000,4.71,4.774,4.557,4.568,163663
1631073600000,4.598,5.01,4.585,4.914,244742
1631160000000,4.917,5.047,4.82,5.031,234848
1631246400000,5.002,5.058,4.913,4.938,151036
1631505600000,4.945,5.289,4.879,5.231,201770
1631592000000,5.199,5.369,5.171,5.26,200943
1631678400000,5.28,5.65,5.266,5.46,279117
1631764800000,5.41,5.6,5.228,5.335,221139
1631851200000,5.27,5.394,5.044,5.105,164579
1632110400000,5.015,5.172,4.905,4.985,156870
1632196800000,4.962,5.046,4.735,4.805,163097
1632283200000,4.811,4.898,4.744,4.805,108777
1632369600000,4.758,5.037,4.741,4.976,105201
1632456000000,5.036,5.183,4.99,5.14,47436
1632715200000,5.191,5.851,5.176,5.706,63065
1632801600000,5.8,6.28,5.602,5.841,338968
1632888000000,5.857,5.955,5.421,5.477,226344
1632974400000,5.457,5.994,5.341,5.867,243240
1633060800000,5.975,6.01,5.533,5.619,178941
1633320000000,5.628,6.064,5.628,5.766,209582
1633406400000,5.83,6.392,5.79,6.312,219522
1633492800000,6.321,6.466,5.663,5.675,274653
1633579200000,5.71,5.835,5.393,5.677,239503
1633665600000,5.761,5.876,5.548,5.565,163349
1633924800000,5.695,5.799,5.308,5.345,188699
1634011200000,5.408,5.523,5.168,5.505,215447
1634097600000,5.456,5.693,5.35,5.59,198786
1634184000000,5.676,5.964,5.604,5.687,169162
1634270400000,5.641,5.789,5.4,5.41,184583
1634529600000,5.299,5.37,4.955,4.989,167896
1634616000000,4.985,5.1,4.825,5.088,152725
1634702400000,5.066,5.221,4.912,5.17,140026
1634788800000,5.151,5.227,5.006,5.115,107707
1634875200000,5.196,5.379,5.121,5.28,74365
1635134400000,5.468,6.008,5.462,5.898,50883
1635220800000,5.959,6.091,5.595,5.882,50705
1635307200000,5.858,6.291,5.77,6.202,187421
1635393600000,6.138,6.206,5.713,5.782,165632
1635480000000,5.732,5.837,5.401,5.426,154410
1635739200000,5.31,5.497,5.116,5.186,163258
1635825600000,5.22,5.565,5.206,5.542,153757
1635912000000,5.553,5.865,5.465,5.67,141498
1635998400000,5.86,5.876,5.535,5.716,147035
1636084800000,5.67,5.76,5.501,5.516,133344
1636347600000,5.605,5.663,5.38,5.427,154221
1636434000000,5.41,5.467,4.91,4.979,202741
1636520400000,4.962,5.046,4.725,4.88,170388
1636606800000,4.917,5.176,4.889,5.149,135953
1636693200000,5.129,5.141,4.752,4.791,137099
