ts,open,high,low,close,volume
1629086400000,201.35,202.87,194.53,199.5,22667200
1629172800000,196.85,197.7,192.67,194.58,22204461
1629259200000,195.0,196.3365,190.0,190.4,29899392
1629345600000,194.94,204.95,187.62,197.98,78137349
1629432000000,199.91,208.6506,199.33,208.16,69550693
1629691200000,209.71,219.97,209.5,219.58,59911578
1629777600000,217.53,219.59,215.35,217.93,30932553
1629864000000,217.37,224.7,217.22,222.13,35766820
1629950400000,222.0,223.4,217.9,220.68,24737867
1630036800000,221.84,227.22,221.67,226.36,31816756
1630296000000,228.2997,230.43,225.51,226.88,27585766
1630382400000,226.95,226.95,221.2,223.85,28647814
1630468800000,224.85,226.97,223.565,224.41,21791792
1630555200000,225.18,225.9299,222.945,223.96,20053477
1630641600000,223.25,229.86,222.0,228.43,29534914
1630987200000,228.33,228.99,225.224,226.62,20776808
1631073600000,225.13,226.1,219.77,223.39,26460184
1631160000000,223.12,225.38,221.31,221.77,20458561
1631246400000,223.4831,226.26,222.7,224.78,26124020
1631505600000,226.84,229.64,218.58,221.52,31849232
1631592000000,222.75,224.1,220.86,222.42,21344649
1631678400000,223.09,223.6699,219.66,223.41,18026386
1631764800000,221.8345,222.77,219.27,222.42,16896486
1631851200000,223.0,223.21,218.3,219.0,36086730
1632110400000,211.46,214.33,206.62,211.13,36940746
1632196800000,214.165,214.25,209.5,212.46,21663463
1632283200000,213.655,219.6,211.96,219.41,28375749
1632369600000,221.4,225.345,218.9,224.82,26162198
1632456000000,220.7,221.49,218.61,220.81,22817333
1632715200000,217.1035,217.99,213.25,216.6,25819679
1632801600000,212.135,214.19,206.51,206.99,36350156
1632888000000,209.395,210.17,204.67,205.17,23174333
1632974400000,207.684,210.66,206.88,207.16,23802265
1633060800000,207.5,208.59,202.03,207.42,26346873
1633320000000,205.04,205.4179,195.55,197.32,36867704
1633406400000,199.5,206.48,198.54,204.51,29880409
1633492800000,201.2,207.2,200.8,207.0,31843949
1633579200000,210.92,213.22,209.72,210.75,27846327
1633665600000,211.01,212.06,207.75,208.31,16063974
1633924800000,205.75,210.63,205.11,206.95,17200591
1634011200000,208.275,210.57,205.28,206.71,17296292
1634097600000,209.18,209.9,207.13,209.39,19607196
1634184000000,212.88,217.55,211.2201,217.46,25884533
1634270400000,218.1,219.31,216.62,218.62,24929936
1634529600000,217.49,222.91,216.44,222.22,20620959
1634616000000,222.76,223.79,220.37,222.9,17050510
1634702400000,223.045,224.33,219.82,221.03,15666339
1634788800000,220.97,227.11,220.83,226.92,19854655
1634875200000,228.23,231.3,225.61,227.26,26713589
1635134400000,229.73,233.5499,227.7,231.66,24741590
1635220800000,239.89,252.59,239.24,247.17,50214140
1635307200000,244.74,250.9,242.8201,244.51,25906134
1635393600000,248.78,249.5,245.23,249.41,25485137
1635480000000,250.005,257.09,250.0,255.67,31767797
1635739200000,256.49,258.94,252.27,258.27,28166318
1635825600000,258.22,266.78,258.0,264.01,30782524
1635912000000,266.7,267.84,262.35,265.98,25377668
1635998400000,272.29,313.65,271.18,298.01,117489352
1636084800000,301.87,314.0,294.1,297.52,87188649
1636347600000,301.49,311.0,299.07,308.04,52146987
1636434000000,322.82,323.1,299.64,306.57,66327120
1636520400000,293.56,308.5,287.78,294.59,65733696
1636606800000,304.68,305.9,297.7701,303.9,34579165
1636693200000,300.1,306.8,296.3,303.9,42935543
1636952400000,305.52,306.44,292.47,300.25,39957760
1637038800000,297.59,303.9,297.0587,302.03,28140970
1637125200000,304.18,305.09,288.0,292.61,44789824
1637211600000,323.67,327.6,313.21,316.75,80770085
1637298000000,322.43,330.88,319.05,329.85,55010235
1637557200000,335.17,346.47,319.0,319.56,77346290
1637643600000,315.35,323.6,308.8,317.46,55092265
1637730000000,314.61,328.55,309.28,326.74,47419858
1637902800000,326.0,327.1,313.5,315.03,30605292
1638162000000,323.66,334.12,320.36,333.76,49671150
1638248400000,331.69,333.53,318.6401,326.76,68971767
1638334800000,332.1947,332.8934,313.8,314.35,50470349
1638421200000,312.03,324.7799,310.25,321.26,49633105
1638507600000,320.0,321.29,301.3,306.93,56425629
1638766800000,298.8,302.41,280.38,300.37,68511215
1638853200000,309.57,324.49,306.51,324.27,61940221
1638939600000,319.99,322.9,314.2101,318.26,49371624
1639026000000,317.34,322.05,304.28,304.9,51803925
1639112400000,311.5,313.05,298.61,301.98,50966873
1639371600000,302.49,302.94,281.16,281.61,62612632
1639458000000,276.99,286.78,272.5,283.37,69116776
1639544400000,284.0,305.0,278.38,304.59,72643572
1639630800000,311.52,311.6,280.93,283.87,73596677
1639717200000,279.81,289.22,277.6,278.01,88358783
1639976400000,273.05,281.44,271.45,277.19,48069426
1640062800000,283.74,291.2,274.01,290.75,54416745
1640149200000,288.91,295.55,284.49,294.0,41564530
1640235600000,297.55,300.59,294.3101,296.4,35752944
1640581200000,296.6,310.865,296.4,309.45,42074072
1640667600000,313.12,313.3,300.1181,303.22,43267748
1640754000000,302.725,305.48,293.66,300.01,35764363
1640840400000,298.27,304.57,295.4,295.86,31696953
1640926800000,296.74,300.3,293.3057,294.11,27945679
1641186000000,298.15,307.11,297.85,301.21,40854995
1641272400000,302.77,304.68,283.49,292.9,54485564
1641358800000,289.49,294.16,275.33,276.04,50064122
1641445200000,276.4,284.3799,270.65,281.78,47215695
1641531600000,281.41,284.22,270.57,272.47,42729132
1641790800000,265.81,274.69,256.4384,274.0,62620427
1641877200000,273.225,280.65,268.39,278.17,42021240
1641963600000,280.665,285.95,276.08,279.99,40078194
