ts,open,high,low,close,volume
1629086400000,201.35,208.6506,187.62,208.16,222459095
1629691200000,209.71,227.22,209.5,226.36,183165574
1630296000000,228.2997,230.43,221.2,228.43,127613763
1630900800000,228.33,228.99,219.77,224.78,93819573
1631505600000,226.84,229.64,218.3,219.0,124203483
1632110400000,211.46,225.345,206.62,220.81,135959489
1632715200000,217.1035,217.99,202.03,207.42,135493306
1633320000000,205.04,213.22,195.55,208.31,142502363
1633924800000,205.75,219.31,205.11,218.62,104918548
1634529600000,217.49,231.3,216.44,227.26,99906052
1635134400000,229.73,257.09,227.7,255.67,158114798
1635739200000,256.49,314.0,252.27,297.52,289004511
1636347600000,301.49,323.1,287.78,303.9,261722511
1636952400000,305.52,330.88,288.0,329.85,248668874
1637557200000,335.17,346.47,308.8,315.03,210463705
1638162000000,323.66,334.12,301.3,306.93,275172000
1638766800000,298.8,324.49,280.38,301.98,282593858
1639371600000,302.49,311.6,272.5,278.01,366328440
1639976400000,273.05,300.59,271.45,296.4,179803645
1640581200000,296.6,313.3,293.3057,294.11,180748815
1641186000000,298.15,307.11,270.57,272.47,235349508
1641790800000,265.81,285.95,256.4384,269.42,242426192
1642395600000,262.6,266.38,232.63,233.74,216372789
1643000400000,223.3,240.57,208.88,228.4,358227122
1643605200000,231.82,258.17,230.52,243.19,251426885
1644210000000,243.72,269.2499,237.73,239.49,253666069
1644814800000,239.34,265.82,231.0,236.42,354559107
1645419600000,230.35,242.17,208.9,241.57,255990776
1646024400000,239.92,246.65,224.82,229.36,219700248
1646629200000,228.17,232.2,206.5,221.0,241070279
1647230400000,218.69,265.6899,211.5901,264.53,293623388
1647835200000,265.07,283.58,255.7501,276.92,319452936
1648440000000,277.555,289.46,262.67,267.12,255802827
1649044800000,267.28,275.58,230.6201,231.19,270517734
1649649600000,222.14,227.77,211.63,212.58,240823909
1650254400000,212.0,226.7037,195.0,195.15,288177956
1650859200000,192.02,201.2848,182.9,185.47,298944387
1651464000000,185.405,204.0,179.9,186.75,306871118
1652068800000,180.34,182.55,155.67,177.06,358398035
1652673600000,175.09,183.71,157.55,166.94,312358564
1653278400000,162.74,188.81,157.8,188.11,386902038
1653883200000,189.8,196.19,181.22,187.2,256217785
1654488000000,191.39,193.37,168.69,169.74,212448804
1655092800000,160.0,168.68,153.28,158.8,304166539
1655697600000,164.69,171.4,158.53,171.26,195111100
1656302400000,173.12,173.3,143.92,145.23,276143537
1656907200000,141.75,160.3699,140.55,158.38,221271867
1657512000000,155.26,157.82,144.65,157.62,235796838
1658116800000,163.02,181.44,160.02,173.19,334061652
1658721600000,170.19,182.44,164.78,181.63,248076325
1659326400000,181.82,192.74,179.9,189.89,225565635
1659931200000,175.02,187.18,167.24,187.09,334681438
1660536000000,187.01,191.64,177.7,178.49,229583021
1661140800000,174.9,179.47,162.37,162.6,294686426
1661745600000,160.2,163.38,132.7021,136.47,364446017
1662350400000,137.31,144.74,133.46,143.87,224862793
1662955200000,143.69,145.47,126.17,131.98,316350476
1663560000000,130.12,140.31,122.57,125.16,342795278
1664164800000,124.91,128.23,119.4601,121.39,286424181
1664769600000,123.47,136.56,120.22,120.76,307676795
1665374400000,120.37,121.2432,108.13,112.27,355102514
1665979200000,115.18,127.69,115.17,124.66,313343786
1666584000000,125.08,138.5,120.64,138.34,277888431
1667188800000,137.78,142.29,129.56,141.56,282270046
1667797200000,142.28,163.89,137.5901,163.27,295791274
1668402000000,162.18,169.98,151.2001,154.09,305820757
1669006800000,151.47,165.27,150.8,162.7,153720803
1669611600000,160.26,172.65,155.2,168.76,215549186
1670216400000,166.79,175.83,156.67,170.01,216506720
1670821200000,170.37,187.9,164.1,165.71,276785016
1671426000000,165.72,166.27,148.82,152.06,210793382
1672030800000,150.74,151.0,138.84,146.14,156208106
1672635600000,148.51,150.1,140.34,148.59,171683991
1673240400000,152.84,169.22,151.41,168.99,234559888
1673845200000,168.99,178.73,167.31,178.39,207862360
1674450000000,180.64,206.28,178.175,203.65,272926664
1675054800000,199.5,219.49,189.5,211.0,275073902
1675659600000,208.06,230.2,207.86,212.65,284612903
1676264400000,215.38,230.488,209.62,213.88,256132152
1676869200000,210.0,238.88,204.21,232.86,274559106
1677474000000,236.7,239.0,224.32,238.9,228847734
1678078800000,238.91,244.54,227.26,229.65,254591448
1678680000000,227.52,263.99,222.97,257.25,313170328
1679284800000,256.15,275.89,251.2983,267.79,287097767
1679889600000,268.37,278.3431,258.5,277.77,197996977
1680494400000,275.09,280.0,263.95,270.37,175620957
1681099200000,268.23,277.9,262.2,267.58,198426775
1681704000000,265.655,281.1,264.3318,271.19,211248774
1682308800000,270.13,277.58,262.25,277.49,182045708
1682913600000,278.4,290.5844,272.4,286.8,210372324
1683518400000,285.22,292.2,280.46,283.4,167197642
1684123200000,285.085,318.28,281.52,312.64,248982652
1684728000000,309.01,394.8,298.06,389.46,378973083
1685332800000,405.95,419.38,378.22,393.27,314017607
1685937600000,389.09,397.11,373.56,387.7,214365092
1686542400000,392.0,437.21,386.18,426.92,296742492
1687147200000,429.98,439.9,420.15,422.09,177925677
1687752000000,424.61,427.64,401.0,423.02,251751457
1688356800000,425.17,432.14,413.46,425.03,118151452
1688961600000,426.57,480.88,416.49,454.69,238834418
1689566400000,462.89,478.9599,441.0,443.09,302215592
1690171200000,447.31,473.95,440.4,467.5,188417934
1690776000000,467.54,471.3,433.87,446.8,170877212
1691380800000,451.11,455.4,406.39,408.55,228864842
1691985600000,404.86,452.68,403.11,432.99,293168528
1692590400000,444.94,502.66,442.22,460.18,431817695
1693195200000,464.82,499.27,448.88,485.09,311484307
1693800000000,482.23,488.5081,451.52,455.72,175887816
1694404800000,461.48,461.63,438.08,439.0,209890287
1695009600000,427.48,442.42,409.8,416.1,217099038
1695614400000,415.91,441.44,411.77,434.99,209123819
1696219200000,440.3,457.89,432.46,457.62,209452185
1696824000000,448.42,476.09,443.68,454.61,211355112
1697428800000,450.63,462.25,410.78,413.87,279433052
1698033600000,412.29,436.97,398.8019,405.0,223994370
1698638400000,410.87,453.0899,392.3001,450.05,217800410
1699246800000,452.845,484.72,448.99,483.35,205416740
1699851600000,483.2,499.6,480.9901,492.98,194291705
1700456400000,493.12,505.48,476.9,477.76,217929885
1701061200000,478.0,487.62,461.87,467.65,207509520
1701666000000,460.77,477.4085,450.1,475.06,190057971
1702270800000,474.91,494.04,458.3,488.9,220137342
1702875600000,494.0,504.3299,480.98,488.3,182832024
1703480400000,489.68,499.97,487.51,495.22,111382645
1704085200000,492.44,495.47,473.2,490.97,145396701
1704690000000,495.12,553.46,494.79,547.1,290034783
1705294800000,550.18,595.0,547.4,594.91,195960699
1705899600000,600.49,628.49,585.85,610.31,218259932
1706504400000,612.32,666.0,607.0,661.6,205898469
1707109200000,682.25,721.85,663.0,721.33,270984542
1707714000000,726.0,746.11,696.2,726.13,263665618
1708318800000,719.47,823.94,662.48,788.17,308962374
1708923600000,797.0,823.0,771.25,822.79,227521595
1709528400000,841.3,974.0,834.1701,875.28,346916427
1710129600000,864.29,919.6,841.66,878.365,322655648
1710734400000,903.88,947.7799,850.1,942.89,288730166
1711339200000,939.41,967.6599,891.23,903.56,208706316
1711944000000,902.99,922.25,858.8,880.08,209021497
1712548800000,887.0,907.3899,830.22,881.86,207625189
1713153600000,890.98,906.13,756.06,762.0,263138782
1713758400000,781.04,883.3093,764.0,877.35,252275992
1714363200000,875.95,892.81,812.5456,887.89,208878089
1714968000000,893.9,922.2,882.31,898.78,185260327
1715572800000,904.78,958.1899,885.29,924.79,168776805
1716177600000,937.5,1064.75,931.8,1064.69,246095896
1716782400000,1102.44,1158.1915,1069.4,1096.33,231122185
1717387200000,1136.21,1255.87,1120.03,1208.88,244719954
1717992000000,120.37,195.95,117.01,131.88,1406333738
1718596800000,132.99,140.76,124.3,126.57,1756092587
1719201600000,123.24,128.12,118.04,123.54,1832466740
1719806400000,123.47,128.85,118.83,125.83,933185147
1720411200000,127.49,136.15,127.04,129.24,1401139984
1721016000000,130.56,131.39,116.56,117.93,1351385198
1721620800000,120.35,124.69,106.3,113.06,1513222902
1722225600000,113.69,120.16,101.37,107.27,2213649314
1722830400000,92.06,108.8,90.69,104.75,2056049067
1723435200000,106.32,125.0,106.26,124.58,1598129482
1724040000000,124.28,130.75,123.1,129.37,1575723972
1724644800000,129.57,131.26,116.71,119.37,1869975248
1725249600000,116.01,116.21,100.95,102.83,1570114185
1725854400000,104.88,120.79,103.69,119.1,1589076945
1726459200000,116.79,119.66,113.22,116.0,1466985987
1727064000000,116.55,127.665,114.86,121.4,1419480253
1727668800000,118.31,125.04,115.14,124.92,1272577548
1728273600000,124.99,135.78,124.95,134.8,1290685141
1728878400000,136.47,140.89,128.74,138.0,1357584514
1729483200000,138.13,144.42,137.46,141.54,1154273138
1730088000000,143.0,143.14,132.1106,135.4,987765940
1730696400000,137.21,149.77,135.57,147.63,973098624
1731301200000,148.68,149.65,140.08,141.98,1017459795
1731906000000,139.5,152.89,137.15,141.95,1393553625
1732510800000,141.99,142.05,131.8,138.25,903463597
1733115600000,138.83,146.54,137.825,142.44,928447790
1733720400000,138.97,141.82,132.54,134.25,974960979
1734325200000,134.18,136.7,126.86,134.7,1291053689
1734930000000,136.28,141.9,134.71,137.01,568312188
1735534800000,134.83,144.9,133.83,144.47,750963555
1736139600000,148.59,153.13,134.22,135.91,1052111995
1736744400000,129.99,138.75,129.51,137.71,996041080
1737349200000,139.16,148.97,137.09,142.62,825973564
1737954000000,124.8,129.0,116.25,120.07,2648916253
1738558800000,114.75,130.37,113.01,129.84,1368986329
1739163600000,130.09,139.25,129.08,138.85,948966352
1739768400000,141.27,143.44,134.03,134.43,758601994
1740373200000,136.56,138.59,116.4,124.92,1677688653
1740978000000,123.51,123.7,107.56,112.69,1756819893
1741579200000,109.9,121.88,104.77,121.67,1621837095
1742184000000,122.74,122.89,114.54,117.7,1343942927
1742788800000,119.88,122.22,109.0701,109.67,1159106003
1743393600000,105.13,111.98,92.11,94.31,1613467963
1743998400000,87.46,115.1,86.62,110.93,2451363846
1744603200000,114.11,114.29,100.05,101.49,1183204188
1745208000000,98.77,111.92,95.04,111.01,1248985765
1745812800000,109.69,115.4,104.08,114.5,1039513638
1746417600000,112.905,118.68,110.822,116.65,830916994
1747022400000,121.97,136.35,120.28,135.4,1289809294
1747627200000,132.39,137.4,129.16,131.29,1011442834
1748232000000,134.15,143.49,132.92,135.13,1200760777
1748836800000,135.49,144.0,135.4,141.72,976759630
1749441600000,143.19,145.0,140.855,141.97,851875991
1750046400000,143.345,146.2,142.65,143.85,726691944
1750651200000,142.5,158.71,142.03,157.75,1072401818
1751256000000,158.4,160.98,151.49,159.34,722664103
1751860800000,158.2,167.89,157.342,164.92,823265602
1752465600000,165.37,174.25,162.02,172.41,833717388
1753070400000,172.75,174.72,164.58,173.5,722013680
1753675200000,174.02,183.3,170.89,173.72,894625063
1754280000000,175.16,183.88,174.52,182.7,717049539
1754884800000,182.05,184.48,178.0417,180.45,750080237
1755489600000,180.6,182.9375,168.801,177.99,845210180
1756094400000,178.35,184.47,173.145,174.18,1092215355
1756699200000,170.0,172.41,164.07,167.02,761658063
1757304000000,167.55,180.28,166.7401,177.82,824196811
1757908800000,175.67,178.85,168.41,176.67,928588599
1758513600000,175.3,184.55,173.125,178.19,945921134
1759118400000,180.425,191.05,180.32,187.62,878292105
1759723200000,185.5,195.62,182.05,183.16,879706566
1760328000000,187.965,190.1099,177.29,183.22,926433143
1760932800000,183.13,187.47,176.76,186.26,657672588
1761537600000,189.99,212.1899,188.4318,202.49,1118902629
1762146000000,208.08,211.335,178.91,188.15,1028508970
1762750800000,195.11,199.94,180.58,190.17,924330654
1763355600000,185.965,196.0,172.93,178.88,1324905173
1763960400000,179.49,183.5,169.55,177.0,882403392
1764565200000,174.76,185.66,173.68,182.41,847237163
1765170000000,182.64,188.0,174.62,175.02,898294740
1765774800000,177.936,181.45,170.31,180.99,1037161126
1766379600000,183.92,192.69,182.35,190.53,509206827
1766984400000,187.71,192.9299,185.91,188.85,486034323
1767589200000,191.76,193.63,183.6701,184.86,817156128
1768194000000,183.22,190.44,180.8,186.23,851839338
1768798800000,181.9,189.6,177.61,187.67,706110918
1769403600000,187.16,194.49,185.7,191.13,768317721
1770008400000,187.2,190.3,171.03,185.41,1014486890
1770613200000,184.26,193.66,181.59,182.81,829165373
1771218000000,181.75,190.37,179.18,189.82,632002848
1771822800000,191.4,197.6299,176.38,177.19,1273314610
1772427600000,175.01,184.7,174.64,177.82,955887077
1773028800000,176.83,187.62,175.56,180.25,821659824
1773633600000,182.97,188.88,171.72,172.7,972068663
1774238400000,177.255,181.22,167.01,167.52,878772786
1774843200000,168.78,177.49,164.27,177.39,725720159
1775448000000,177.155,190.0,173.66,188.63,667875114
1776052800000,186.03,201.7,185.74,201.68,777828928
1776657600000,199.98,210.95,197.2206,208.27,665138998
1777262400000,209.645,216.825,197.12,198.45,847865997
1777867200000,199.5,217.8,194.74,215.2,735196546
1778472000000,214.035,236.54,213.89,225.32,835567771
1779076800000,229.87,230.0,214.8,215.33,847686607
1779681600000,216.54,218.18,208.78,211.14,791210237
1780286400000,215.73,232.28,204.33,205.1,959833814
