ts,open,high,low,close,volume
1629086400000,0.765,0.773,0.7122,0.7333,108249263
1629172800000,0.7169,0.7589,0.705,0.7133,77402779
1629259200000,0.7227,0.745,0.7153,0.7249,73694505
1629345600000,0.7159,0.7224,0.691,0.7,77416935
1629432000000,0.7025,0.7068,0.686,0.6971,73178703
1629691200000,0.709,0.735,0.699,0.7245,84756268
1629777600000,0.7277,0.78,0.7214,0.77,126874589
1629864000000,0.7647,0.7887,0.7501,0.7758,83099276
1629950400000,0.7675,0.7875,0.7401,0.7402,76222198
1630036800000,0.7483,0.7699,0.7402,0.7617,58069757
1630296000000,0.7611,0.7617,0.7304,0.7465,60664175
1630382400000,0.7405,0.792,0.7325,0.7798,110756341
1630468800000,0.7785,0.808,0.76,0.7694,88844282
1630555200000,0.769,0.8099,0.76,0.7991,91368576
1630641600000,0.7981,0.8,0.771,0.7754,44185417
1630987200000,0.7794,0.7796,0.751,0.7545,59433196
1631073600000,0.7536,0.7536,0.717,0.7321,70790497
1631160000000,0.729,0.7448,0.725603,0.7343,45702609
1631246400000,0.7397,0.7397,0.72,0.722,55012297
1631505600000,0.7224,0.7578,0.701,0.7415,83070781
1631592000000,0.7425,0.7544,0.705,0.7102,64035743
1631678400000,0.72,0.7325,0.71,0.7298,44837842
1631764800000,0.7237,0.7249,0.7101,0.7193,36315850
1631851200000,0.7179,0.7254,0.7051,0.7254,51385444
1632110400000,0.702,0.709,0.68,0.6842,95174587
1632196800000,0.6987,0.715,0.69,0.6915,63622986
1632283200000,0.6986,0.7076,0.69,0.6972,78327569
1632369600000,0.72,0.7209,0.69,0.7015,80531540
1632456000000,0.694,0.698,0.67,0.673,88199389
1632715200000,0.678,0.7389,0.67,0.7275,129334493
1632801600000,0.708,0.7389,0.6851,0.6863,87989271
1632888000000,0.6923,0.7025,0.675,0.6761,66693633
1632974400000,0.683,0.7025,0.6705,0.6781,93846094
1633060800000,0.6827,0.6835,0.6551,0.6701,66600509
1633320000000,0.6667,0.6721,0.63,0.6304,102596805
1633406400000,0.633,0.6551,0.63,0.6406,75589760
1633492800000,0.6321,0.644,0.6111,0.6345,59829183
1633579200000,0.64,0.6575,0.631,0.648,92097708
1633665600000,0.7369,0.7448,0.6711,0.6804,222085825
1633924800000,0.6742,0.71,0.6708,0.6752,61955770
1634011200000,0.673,0.6893,0.66,0.6629,67767119
1634097600000,0.667,0.673,0.6502,0.6625,63681786
1634184000000,0.6651,0.686,0.66,0.6642,73495111
1634270400000,0.6716,0.6716,0.6551,0.6561,55020336
1634529600000,0.655,0.6561,0.643,0.6512,61644171
1634616000000,0.6519,0.71,0.6441,0.6894,182669429
1634702400000,0.677,0.6951,0.6641,0.68,81904866
1634788800000,0.6717,0.7572,0.6702,0.6985,323180567
1634875200000,0.6852,0.6941,0.6517,0.6595,104789556
1635134400000,0.6592,0.6793,0.651,0.665,66953059
1635220800000,0.668,0.6749,0.6575,0.6648,57734551
1635307200000,0.6658,0.6825,0.651,0.6525,52554347
1635393600000,0.6538,0.665,0.6525,0.661,62746339
1635480000000,0.6555,0.6648,0.65,0.65,51402903
1635739200000,0.6553,0.68,0.65,0.657,87586646
1635825600000,0.664,0.6646,0.65,0.6514,61049288
1635912000000,0.654,0.676,0.648,0.6594,95851824
1635998400000,0.6649,0.6745,0.6501,0.653,79757600
1636084800000,0.6539,0.6613,0.6305,0.643,99013462
1636347600000,0.6476,0.7055,0.647,0.7,210682303
1636434000000,0.6939,0.73,0.6621,0.7201,113647784
1636520400000,0.703,0.711,0.6741,0.6775,66412130
1636606800000,0.6851,0.7289,0.6835,0.7199,164598259
1636693200000,0.9146,0.96,0.8003,0.9202,897414989
1636952400000,0.9,0.9493,0.83,0.8303,363994525
1637038800000,0.8153,0.8579,0.7822,0.835,255610592
1637125200000,0.824,0.8336,0.782,0.7936,126673181
1637211600000,0.797,0.797,0.735,0.7452,129044617
1637298000000,0.7594,0.7759,0.72,0.7313,112300974
1637557200000,0.7231,0.7245,0.67,0.69,123099582
1637643600000,0.6825,0.705,0.661,0.6724,84016598
1637730000000,0.67,0.6894,0.655,0.6756,82690122
1637902800000,0.6502,0.668499,0.6405,0.6541,61442500
1638162000000,0.6591,0.6647,0.635,0.635,90482371
1638248400000,0.6345,0.6408,0.601,0.6218,114653773
1638334800000,0.632,0.638,0.5585,0.5655,146555018
1638421200000,0.5766,0.6048,0.5699,0.592,120399976
1638507600000,0.5993,0.6,0.5511,0.564,105336889
1638766800000,0.5535,0.5839,0.5302,0.5744,91671192
1638853200000,0.5857,0.6145,0.5857,0.5977,84875568
1638939600000,0.61,0.6396,0.597,0.6165,90293542
1639026000000,0.6119,0.63,0.5951,0.5971,58520350
1639112400000,0.604,0.6048,0.575,0.5856,56390538
1639371600000,0.5807,0.5808,0.556,0.57,56459260
1639458000000,0.557,0.57,0.55,0.5623,63189835
1639544400000,0.5597,0.5643,0.5255,0.5602,88951236
1639630800000,0.5719,0.589,0.557,0.5885,70601392
1639717200000,0.5717,0.6245,0.57,0.6041,93035586
1639976400000,0.5876,0.5989,0.58,0.5918,47016339
1640062800000,0.603,0.6338,0.5999,0.6251,94946831
1640149200000,0.6225,0.6593,0.618,0.655,121651357
1640235600000,0.6556,0.69,0.65,0.67,90314234
1640581200000,0.6635,0.6652,0.6352,0.6418,66906576
1640667600000,0.63,0.6447,0.6097,0.6109,76250097
1640754000000,0.6023,0.6092,0.5824,0.5904,63019954
1640840400000,0.5889,0.6297,0.584,0.5941,95565280
1640926800000,0.6008,0.6092,0.5777,0.5783,99051966
1641186000000,0.59,0.62,0.587,0.6185,105003189
1641272400000,0.62,0.644,0.599,0.6406,76980016
1641358800000,0.625,0.665,0.61,0.612,95633853
1641445200000,0.6199,0.627,0.5605,0.582,116290742
1641531600000,0.5814,0.613,0.5761,0.5958,68346769
1641790800000,0.6004,0.6097,0.5751,0.5854,97619870
1641877200000,0.5798,0.5987,0.5788,0.5875,55615987
1641963600000,0.59,0.5989,0.5763,0.5802,53747310
1642050000000,0.587,0.591,0.56,0.5604,65322909
1642136400000,0.561,0.5748,0.5555,0.564,44749588
1642482000000,0.5572,0.562,0.5411,0.5465,57320939
1642568400000,0.5525,0.5547,0.52,0.5209,76825636
1642654800000,0.526,0.547,0.5171,0.5184,56794204
1642741200000,0.503,0.51,0.4659,0.4783,94182356
1643000400000,0.4511,0.46,0.4,0.46,137855958
1643086800000,0.45195,0.4895,0.4414,0.4764,65091105
1643173200000,0.5003,0.502,0.45,0.4587,61048403
