ts,open,high,low,close,volume
1628481600000,1776700.25,1856523.014855,1771550.394203,1776700.25,41
1629086400000,1799875.02055,2059942.798913,1779275.592561,1895147.375,165
1629691200000,1841073.271704,1841073.271704,1591305.289389,1601605.0,120
1630296000000,1578430.82649,1663403.44847,1542381.835346,1599030.25,137
1630900800000,1599030.377986,1720052.000796,1542381.958798,1617054.875,156
1631505600000,1570706.254006,1640229.317708,1519207.688301,1606755.25,238
1632110400000,1704602.360233,1797299.769551,1526932.325707,1547531.75,216
1632715200000,1593880.411017,1910596.550847,1539806.923729,1823049.0,230
1633320000000,1853948.426966,1977544.988764,1709752.438202,1833349.0,199
1633924800000,1869397.6125,1972394.726136,1684002.807955,1699452.375,169
1634529600000,1735501.414936,1761250.694089,1534657.03754,1611904.875,144
1635134400000,1591305.396522,1624779.458261,1478008.572174,1480583.5,202
1635739200000,1478008.605769,1483158.461538,1109793.918269,1138118.125,323
1636347600000,1117518.796539,1199916.495823,1053145.593974,1078894.875,452
1636952400000,1058295.499512,1112368.992188,970747.939941,988772.4375,294
1637557200000,970747.833824,1117518.726471,932123.914706,1094344.375,338
1638162000000,1045420.875,1096919.440271,916674.461823,1045420.875,523
1638766800000,1058295.382172,1148417.859973,883200.282445,942423.625,519
1639371600000,934698.999226,1078894.988088,903799.858756,1040271.0625,485
1639976400000,1089194.536099,1104644.103987,880625.369612,896074.9375,262
1640581200000,888350.158991,888350.158991,811102.319079,880625.375,318
1641186000000,867750.66727,988772.273684,803377.472368,978472.5625,534
1641790800000,1011946.696659,1078894.824174,839426.521911,896074.9375,772
1642395600000,944998.587121,1279739.231061,939848.731061,1274589.375,822
1643000400000,1359561.622222,1604179.71713,1127818.163889,1390460.75,1064
1643605200000,1364711.722222,1390461.0,1037695.894444,1158717.5,1076
1644210000000,1150992.868922,1243690.281184,950148.475687,1217941.0,1103
1644814800000,1207641.127778,1266864.466667,1004221.833333,1158717.5,1190
1645419600000,1202491.423926,1429085.096957,1076319.946897,1078894.875,1107
1646024400000,1114943.864175,1295188.83067,1063445.30232,1248840.125,1064
1646629200000,1241115.373563,1488308.477011,1161292.600575,1344112.5,1090
1647230400000,1354412.100065,1496033.137144,981047.547766,993922.1875,1165
1647835200000,1001647.065007,1058295.485136,890925.152937,898649.9375,1300
1648440000000,923111.836204,1060098.027797,817024.785572,1018384.1875,2085
1649044800000,1008856.960116,1269697.210396,963538.219692,1263774.875,1694
1649649600000,1322997.972629,1375011.516901,1224378.232746,1371149.125,996
1650254400000,1390718.483998,1413120.355523,1122925.9968,1407970.5,1324
1650859200000,1436037.331318,1571993.528366,1230043.093367,1447882.0,1631
1651464000000,1439642.325314,1473888.869629,1111853.972582,1312440.875,1619
1652068800000,1398185.793727,1627611.860433,1240085.226996,1270469.375,1749
1652673600000,1310380.746111,1507105.228333,1125243.438889,1332525.125,2218
1653278400000,1358274.471771,1454319.28276,1025336.293193,1033576.0625,1897
1653883200000,1038210.646689,1139920.271055,978987.321109,1065504.875,1597
1654488000000,1005251.979049,1332525.35645,991347.366634,1327375.5,1718
1655092800000,1458181.837365,1809144.550472,1368316.843326,1689925.375,1667
1655697600000,1586928.390832,1712842.391013,1420073.028628,1421103.0,759
1656302400000,1378873.945312,1953855.36826,1353639.650888,1891027.125,1246
1656907200000,2038313.160589,2067924.834853,1517920.172015,1546501.875,914
1657512000000,1621174.846635,1756616.074292,1398443.550202,1400246.0,1169
1658116800000,1336902.635075,1444792.119686,1077349.889283,1162837.5,2381
1658721600000,1187042.044044,1254505.171059,997784.79841,1006282.0625,2215
1659326400000,1028168.588552,1047738.038271,889122.49844,917961.6875,2296
1659931200000,958645.677827,1131938.329231,867493.228202,873415.5625,2854
1660536000000,889122.689334,993922.264937,857966.058749,965340.5625,3488
1661140800000,1022504.11235,1096404.560661,929806.685897,1094087.125,3179
1661745600000,1128591.07054,1420330.446064,1088164.69635,1351064.875,3547
1662350400000,1339477.797714,1427797.844737,1149963.061244,1165670.125,2199
1662955200000,1152537.735394,1465648.970032,1135028.225562,1361879.375,3423
1663560000000,1414923.031944,1702027.523413,1251672.585675,1622204.75,2548
1664164800000,1637396.760692,1821246.625,1554999.062403,1821246.625,2221
1664769600000,1747088.660022,1791377.421927,1290038.936877,1627612.0,2927
1665374400000,1643576.351827,2306877.727717,1639198.974735,2061229.625,3380
1665979200000,1895661.958819,2009473.774331,1618857.203898,1635079.25,2562
1666584000000,1618857.15835,1725974.158171,1430887.423087,1437067.25,2468
1667188800000,1471313.643391,1779017.494258,1387628.495666,1463073.875,2659
1667797200000,1422904.949137,1484188.224181,860025.792638,872642.9375,3938
1668402000000,891955.050186,993407.212361,786640.49605,900452.3125,6017
1669006800000,931351.418451,955555.740633,806209.922911,865948.25,3143
