ts,open,high,low,close,volume
1629086400000,705.07,709.5,676.4,686.17,23934709
1629172800000,672.66,674.58,648.84,665.71,24265619
1629259200000,669.7479,695.77,669.35,688.99,20834284
1629345600000,678.21,686.55,667.59,673.47,14631401
1629432000000,682.85,692.1299,673.7,680.26,15480461
1629691200000,685.442,712.1299,680.7505,706.3,20917215
1629777600000,710.68,715.22,702.64,708.49,13331889
1629864000000,707.03,716.97,704.0,711.2,13140733
1629950400000,708.31,715.4,697.6201,701.16,13535663
1630036800000,705.0,715.0,702.1001,711.92,14226833
1630296000000,714.715,731.0,712.73,730.91,18937972
1630382400000,733.0,740.39,726.44,735.72,22964324
1630468800000,734.08,741.99,731.2701,734.09,13612193
1630555200000,734.5,740.97,730.54,732.39,13153084
1630641600000,732.2494,734.0,724.2,733.57,15533677
1630987200000,740.0,760.2,739.26,752.92,20416032
1631073600000,761.58,764.45,740.7733,753.87,19160240
1631160000000,753.41,762.1,751.6301,754.86,14472239
1631246400000,759.6,762.61,734.5201,736.27,15480205
1631505600000,740.2143,744.78,708.85,743.0,23526061
1631592000000,742.57,754.47,736.4,744.49,18929417
1631678400000,745.0,756.86,738.36,755.83,16058396
1631764800000,752.83,758.91,747.61,756.99,14603360
1631851200000,757.15,761.04,750.0,759.49,35938669
1632110400000,734.5577,742.0,718.6249,730.17,25471332
1632196800000,734.79,744.7399,730.44,739.38,17152159
1632283200000,743.5263,753.6699,739.12,751.94,15753275
1632369600000,755.0,758.2,747.92,753.64,12283745
1632456000000,745.89,774.8,744.56,774.39,21818322
1632715200000,773.12,799.0,769.31,791.36,28842443
1632801600000,787.2,795.64,766.1801,777.56,26182426
1632888000000,779.8,793.5,770.68,781.31,21363938
1632974400000,781.0,789.1305,775.0,775.48,18710564
1633060800000,778.4,780.78,763.59,775.22,17689952
1633320000000,796.5,806.9699,776.12,781.53,31386257
1633406400000,784.7962,797.31,774.2,780.59,18860630
1633492800000,776.2,786.66,773.22,782.75,15009105
1633579200000,785.46,805.0,783.38,793.61,20052029
1633665600000,796.21,796.38,780.91,785.49,17016248
1633924800000,787.65,801.24,785.5,791.94,14464306
1634011200000,800.93,812.32,796.57,805.72,22918978
1634097600000,810.47,815.41,805.78,811.08,14470404
1634184000000,815.49,820.25,813.3501,818.32,12701953
1634270400000,823.7384,843.21,822.35,843.03,19439060
1634529600000,851.79,875.26,851.47,870.11,25246436
1634616000000,877.53,877.95,862.51,864.27,17808882
1634702400000,865.35,869.49,857.38,865.8,14335208
1634788800000,856.0,900.0,855.5046,894.0,32096479
1634875200000,895.5,910.0,890.96,909.68,23564778
1635134400000,950.53,1045.02,944.2,1024.86,63703870
1635220800000,1024.69,1094.94,1001.44,1018.43,63161058
1635307200000,1039.66,1070.88,1030.78,1037.86,39387863
1635393600000,1068.305,1081.0,1054.2,1077.04,27853700
1635480000000,1081.86,1115.21,1073.205,1114.0,30566107
1635739200000,1145.0,1209.75,1118.66,1208.59,57142797
1635825600000,1159.355,1208.59,1146.0,1172.0,43499255
1635912000000,1177.33,1215.39,1152.62,1213.86,35071050
1635998400000,1234.41,1243.49,1217.0,1229.91,25934479
1636084800000,1228.0,1239.87,1208.0,1222.09,22050239
1636347600000,1149.785,1197.0,1133.0,1162.94,34752811
1636434000000,1173.6,1174.5,1011.52,1023.5,60134781
1636520400000,1010.41,1078.1,987.31,1067.95,43481926
1636606800000,1102.77,1104.97,1054.68,1063.51,22832119
1636693200000,1047.5,1054.5,1019.2,1033.42,26031201
1636952400000,1017.63,1031.98,978.6,1013.39,35229701
1637038800000,1003.31,1057.1999,1002.18,1054.73,27469141
1637125200000,1063.51,1119.64,1055.5,1089.01,31968024
1637211600000,1106.55,1112.0,1075.02,1096.38,21341044
1637298000000,1098.87,1138.7199,1092.7,1137.06,22238064
