ts,open,high,low,close,volume
1723474800000,88.68,88.71,88.19,88.49,299150
1723478400000,88.495,88.55,88.2,88.2,202683
1723482000000,88.19,88.31,88.08,88.14,227510
1723485600000,88.12,88.24,88.04,88.15,210562
1723489200000,88.14,88.205,87.965,88.19,1037449
1723492800000,88.17,88.435,88.17,88.32,116478
1723496400000,88.32,88.32,88.32,88.32,200
1723500000000,88.32,88.32,88.32,88.32,408
1723550400000,88.5,88.5,88.47,88.47,1417
1723554000000,88.48,88.82,88.27,88.62,475239
1723557600000,88.61,88.61,88.27,88.55,383767
1723561200000,88.565,88.665,88.47,88.625,231131
1723564800000,88.63,88.97,88.62,88.93,291345
1723568400000,88.92,89.04,88.82,89.0,316537
1723572000000,89.0,89.115,88.88,89.1,239524
1723575600000,89.1,89.24,88.97,89.07,958878
1723579200000,89.05,89.1,89.05,89.1,220064
1723636800000,89.2,89.2,89.2,89.2,300
1723640400000,89.27,89.315,88.78,88.79,451737
1723644000000,88.785,88.94,88.66,88.755,383733
1723647600000,88.76,88.97,88.74,88.95,256931
1723651200000,88.955,88.985,88.595,88.85,975197
1723654800000,88.8,88.98,88.75,88.97,198752
1723658400000,88.95,89.275,88.89,89.255,238620
1723662000000,89.25,89.295,88.955,89.04,999673
1723665600000,89.05,89.25,89.05,89.25,112437
1723669200000,88.93,89.05,88.92,89.05,2847
1723723200000,89.31,89.4,89.31,89.4,700
1723726800000,89.95,90.51,89.73,89.765,556165
1723730400000,89.77,90.095,89.71,90.095,564008
1723734000000,90.095,90.3799,90.07,90.31,375011
1723737600000,90.305,90.59,90.305,90.47,460185
1723741200000,90.46,90.568,90.385,90.475,204313
1723744800000,90.475,90.555,90.44,90.54,373240
1723748400000,90.53,90.645,90.335,90.48,1197926
1723752000000,90.46,90.56,90.22,90.56,130230
1723755600000,90.71,90.76,90.71,90.76,2443
1723813200000,90.26,90.395,90.04,90.17,459410
1723816800000,90.16,90.38,89.895,90.03,670406
1723820400000,90.04,90.35,90.04,90.295,231667
1723824000000,90.295,90.545,90.285,90.52,247923
1723827600000,90.52,90.53,90.33,90.45,162147
1723831200000,90.45,90.51,90.37,90.51,124568
1723834800000,90.5,90.625,90.375,90.595,897477
1723838400000,90.57,90.77,90.57,90.66,89596
1724065200000,90.36,90.36,90.36,90.36,276
1724072400000,90.58,91.01,90.58,90.65,361448
1724076000000,90.64,91.08,90.625,91.04,218803
1724079600000,91.04,91.05,90.895,90.93,165173
1724083200000,90.92,90.985,90.865,90.955,185882
1724086800000,90.95,91.04,90.8999,90.94,154060
1724090400000,90.94,90.955,90.84,90.925,261295
1724094000000,90.925,91.03,90.82,91.02,788187
1724097600000,91.0,91.15,90.8,91.03,76804
1724158800000,91.05,91.24,90.955,91.17,416196
1724162400000,91.17,91.285,90.965,90.995,305010
1724166000000,90.99,90.995,90.58,90.78,265416
1724169600000,90.79,90.825,90.65,90.77,226255
1724173200000,90.75,90.7801,90.58,90.59,334711
1724176800000,90.58,90.805,90.58,90.69,205443
1724180400000,90.69,90.725,90.59,90.68,602832
1724184000000,90.67,90.89,90.67,90.89,58649
1724187600000,90.77,90.77,90.77,90.77,1469
1724245200000,90.97,91.19,90.93,91.16,217443
1724248800000,91.16,91.59,91.01,91.355,389020
1724252400000,91.35,91.62,91.3,91.365,220242
1724256000000,91.365,91.505,91.265,91.48,204923
1724259600000,91.48,91.62,91.47,91.585,159157
1724263200000,91.58,91.79,91.54,91.73,242113
1724266800000,91.73,91.74,91.55,91.7,736653
1724270400000,91.71,91.84,91.61,91.77,111492
1724277600000,91.88,91.88,91.88,91.88,1211
1724331600000,91.71,91.87,91.31,91.48,344597
1724335200000,91.48,91.56,91.28,91.47,371725
1724338800000,91.48,91.52,91.2,91.385,424048
1724342400000,91.38,91.71,91.375,91.49,186407
1724346000000,91.48,91.59,91.31,91.34,339866
1724349600000,91.34,91.615,91.305,91.5,207228
1724353200000,91.51,91.665,91.35,91.54,892112
1724356800000,91.52,91.52,91.51,91.51,42723
1724414400000,91.9,91.9,91.9,91.9,112
1724418000000,92.0,92.15,91.835,91.9,233621
1724421600000,91.91,92.68,91.91,92.6,558163
1724425200000,92.59,92.96,92.515,92.52,536386
1724428800000,92.515,92.53,92.19,92.42,345546
1724432400000,92.4,92.6,92.39,92.54,129268
1724436000000,92.54,92.595,92.41,92.505,169043
1724439600000,92.5,92.83,92.415,92.72,757672
1724443200000,92.73,92.73,92.73,92.73,106542
1724673600000,93.0,93.0,93.0,93.0,717
1724677200000,93.14,93.68,93.14,93.645,385768
1724680800000,93.65,93.83,93.4601,93.4601,344127
1724684400000,93.46,93.46,93.12,93.14,450314
1724688000000,93.135,93.41,93.085,93.405,455179
1724691600000,93.405,93.45,93.06,93.115,392031
1724695200000,93.11,93.17,93.045,93.15,436823
1724698800000,93.15,93.185,92.99,93.16,1274183
1724702400000,93.14,93.24,93.14,93.24,81421
1724706000000,93.0,93.0,93.0,93.0,174
1724763600000,93.07,93.17,92.86,92.98,437895
1724767200000,92.99,93.17,92.9,93.015,415248
1724770800000,93.02,93.095,92.7,92.77,332591
1724774400000,92.76,92.765,92.545,92.665,288007
1724778000000,92.67,93.04,92.67,93.02,160841
1724781600000,93.015,93.125,93.01,93.075,211368
1724785200000,93.07,93.16,93.02,93.13,1400514
1724788800000,93.15,93.62,93.03,93.62,1052698
1724846400000,92.93,92.93,92.92,92.92,232
1724850000000,92.84,93.245,92.69,93.05,401080
1724853600000,93.05,93.085,92.87,93.05,461498
1724857200000,93.045,93.09,92.835,92.95,513876
1724860800000,92.94,92.94,92.605,92.845,250793
1724864400000,92.845,92.91,92.53,92.535,312734
1724868000000,92.535,92.76,92.41,92.75,295590
1724871600000,92.74,92.86,92.56,92.78,712558
1724875200000,92.75,92.75,92.55,92.55,290833
1724936400000,93.08,93.25,92.49,92.65,458499
1724940000000,92.66,93.2,92.66,93.1,370422
1724943600000,93.105,93.42,93.095,93.41,210214
1724947200000,93.41,93.76,93.41,93.75,232027
1724950800000,93.75,93.82,93.61,93.82,200254
1724954400000,93.81,93.835,93.23,93.385,583963
1724958000000,93.38,93.59,93.07,93.27,850281
1724961600000,93.26,93.46,92.69,92.69,108849
1725022800000,93.52,94.0,93.48,93.77,424488
1725026400000,93.78,94.055,93.73,93.815,347756
1725030000000,93.815,93.87,93.31,93.45,326539
1725033600000,93.44,93.525,93.065,93.315,533716
1725037200000,93.315,93.43,93.26,93.39,307157
1725040800000,93.39,93.77,93.37,93.74,286364
1725044400000,93.74,94.415,93.69,94.26,1435737
1725048000000,94.28,94.28,94.18,94.2794,614181
1725055200000,94.38,94.38,94.38,94.38,100
1725350400000,94.38,94.38,94.38,94.38,211
1725364800000,94.28,94.28,93.6,93.6,5121
1725368400000,93.76,93.76,92.495,92.82,793486
1725372000000,92.81,92.83,92.205,92.59,780122
1725375600000,92.59,92.905,92.56,92.81,362739
1725379200000,92.81,92.94,92.57,92.61,279430
1725382800000,92.6,92.815,92.55,92.68,263409
1725386400000,92.68,92.72,92.41,92.42,402682
1725390000000,92.41,92.46,91.85,92.16,1560742
1725393600000,92.14,92.4,92.14,92.34,270765
1725454800000,92.37,92.76,92.3,92.69,471259
1725458400000,92.68,92.7,92.35,92.43,589836
1725462000000,92.44,92.5,92.05,92.09,337792
1725465600000,92.07,92.255,91.98,92.17,176023
1725469200000,92.165,92.18,91.73,91.81,206040
1725472800000,91.81,91.9099,91.7,91.79,302166
1725476400000,91.79,91.895,91.655,91.74,884510
1725480000000,91.76,91.97,91.76,91.865,101763
1725483600000,91.76,91.76,91.76,91.76,11493
1725490800000,91.76,91.76,91.76,91.76,2120
1725534000000,91.78,91.78,91.78,91.78,100
1725541200000,91.95,92.06,91.4,91.46,446383
1725544800000,91.46,91.72,91.065,91.14,509025
1725548400000,91.135,91.195,90.86,90.86,471087
1725552000000,90.855,91.15,90.83,91.08,298684
1725555600000,91.08,91.38,91.0,91.36,283129
1725559200000,91.38,91.4,91.28,91.305,264108
1725562800000,91.295,91.295,90.92,91.07,1277480
1725566400000,91.04,91.18,91.04,91.05,144392
1725570000000,91.04,91.04,91.04,91.04,909
1725573600000,91.0602,91.0602,91.0602,91.0602,1200
1725627600000,90.91,91.45,90.83,91.28,773260
1725631200000,91.29,91.29,90.11,90.14,930092
1725634800000,90.14,90.755,89.93,89.95,796735
1725638400000,89.94,90.04,89.825,89.97,423359
1725642000000,89.98,90.21,89.96,90.11,318610
1725645600000,90.11,90.13,89.77,89.86,328053
1725649200000,89.87,90.06,89.7101,89.88,1516716
1725652800000,89.89,89.89,89.61,89.61,140180
1725656400000,89.89,89.89,89.84,89.87,71583
