ts,open,high,low,close,volume
1723474800000,90.03,90.08,89.51,89.82,1794237
1723478400000,89.83,89.855,89.52,89.54,1342890
1723482000000,89.54,89.74,89.375,89.69,1632285
1723485600000,89.685,89.76,89.535,89.73,1627705
1723489200000,89.725,89.898,89.56,89.88,3349194
1723492800000,89.85,90.01,89.85,89.96,396935
1723496400000,89.85,89.99,89.85,89.9,10495
1723500000000,89.75,89.78,89.7,89.78,3317
1723503600000,89.76,89.8,89.7,89.75,10181
1723536000000,89.81,89.86,89.81,89.86,2684
1723539600000,89.9,89.9,89.85,89.85,644
1723543200000,89.85,89.85,89.79,89.8,2128
1723546800000,89.54,89.61,89.2,89.2,238601
1723550400000,89.55,89.55,89.12,89.43,235087
1723554000000,89.43,89.43,88.54,88.68,2624785
1723557600000,88.68,88.83,88.55,88.8089,2977547
1723561200000,88.81,89.07,88.68,89.0,1773326
1723564800000,89.0,89.165,88.88,89.115,1550362
1723568400000,89.11,89.18,88.89,89.08,1137198
1723572000000,89.0801,89.225,89.07,89.135,1011585
1723575600000,89.135,89.21,88.83,88.96,3535456
1723579200000,88.98,89.18,88.78,88.99,594778
1723582800000,89.01,89.09,89.0019,89.09,2904
1723586400000,89.02,89.02,89.0,89.0,367
1723590000000,89.15,89.18,89.05,89.05,1468
1723629600000,88.98,88.99,88.98,88.99,566
1723633200000,89.13,89.13,89.0,89.05,1563
1723636800000,89.2,89.3,89.2,89.3,747
1723640400000,89.3,89.46,88.97,89.38,1161208
1723644000000,89.385,89.455,88.92,89.005,1805758
1723647600000,89.0,89.29,88.8,89.25,1022345
1723651200000,89.24,89.63,89.21,89.59,976456
1723654800000,89.58,89.66,89.43,89.59,1028518
1723658400000,89.595,89.87,89.46,89.865,1261542
1723662000000,89.86,89.895,89.42,89.49,3023914
1723665600000,89.485,89.61,89.33,89.61,537598
1723669200000,89.5,89.5,89.46,89.46,3036
1723672800000,89.51,89.7,89.51,89.7,1763
1723676400000,89.4706,89.7,89.4706,89.7,2029
1723708800000,89.7,89.7,89.7,89.7,172
1723719600000,89.8,89.8,89.8,89.8,400
1723723200000,89.58,90.0998,89.58,89.96,26111
1723726800000,89.9,90.57,89.9,90.1,1138069
1723730400000,90.105,90.62,89.93,90.615,1564458
1723734000000,90.62,90.86,90.605,90.7499,963440
1723737600000,90.745,90.83,90.54,90.69,905204
1723741200000,90.68,90.73,90.53,90.61,683727
1723744800000,90.6,90.73,90.53,90.55,733148
1723748400000,90.55,90.68,90.45,90.58,2685690
1723752000000,90.57,90.81,90.55,90.65,425871
1723755600000,90.57,90.66,90.57,90.64,3799
1723759200000,90.58,90.77,90.58,90.77,689
1723762800000,90.74,90.75,90.6,90.6,1925
1723795200000,90.57,90.57,90.57,90.57,1563
1723798800000,90.52,90.52,90.48,90.48,2414
1723802400000,90.34,90.34,89.9,89.9,3624
1723806000000,90.2,90.2,89.7,89.7,27398
1723809600000,89.8,90.28,89.65,89.89,18959
1723813200000,89.9,90.59,89.82,90.53,1334399
1723816800000,90.52,90.61,90.165,90.3,1216723
1723820400000,90.305,90.465,90.19,90.31,926954
1723824000000,90.32,90.625,90.315,90.5999,744727
1723827600000,90.6,90.6655,90.455,90.655,564734
1723831200000,90.66,90.69,90.455,90.5,1503715
1723834800000,90.49,90.645,90.4,90.51,1866766
1723838400000,90.47,90.67,90.39,90.47,551832
1723842000000,90.48,90.59,90.48,90.5884,1106
1723845600000,90.48,90.48,90.48,90.48,500
1723849200000,90.59,90.59,90.5,90.5,254
1724054400000,90.46,90.61,90.38,90.61,5928
1724058000000,90.44,90.53,90.44,90.44,3361
1724061600000,90.38,90.4,90.38,90.4,1189
1724065200000,90.44,90.64,90.44,90.49,6093
1724068800000,90.5,90.76,90.3,90.48,133491
1724072400000,90.5,91.07,90.42,90.79,1219741
1724076000000,90.79,91.85,90.72,91.7667,1667978
1724079600000,91.77,91.795,91.23,91.33,1216045
1724083200000,91.33,91.41,91.185,91.3,1300576
1724086800000,91.3,91.42,91.1,91.1601,908285
1724090400000,91.17,91.2399,91.0,91.07,1506130
1724094000000,91.06,91.125,90.905,91.06,2330112
1724097600000,91.08,91.17,91.04,91.06,384449
1724101200000,91.08,91.19,91.0688,91.08,164459
1724104800000,91.11,91.11,91.11,91.11,236
1724108400000,91.07,91.07,91.07,91.07,493
1724140800000,90.81,90.81,90.78,90.8,3293
1724148000000,91.08,91.08,91.08,91.08,150
1724151600000,91.08,91.09,90.99,91.09,894
1724155200000,90.95,91.09,90.74,90.99,6847
1724158800000,90.95,91.06,90.12,90.27,1926985
1724162400000,90.265,90.415,89.3,89.335,2506011
1724166000000,89.33,89.37,88.64,88.87,3098072
1724169600000,88.89,89.23,88.89,89.135,1451759
1724173200000,89.135,89.18,88.915,88.94,1166286
1724176800000,88.94,89.18,88.915,89.1,2714850
1724180400000,89.1,89.32,88.67,88.73,3152438
1724184000000,88.68,88.9,88.67,88.88,607628
1724187600000,88.68,88.82,88.68,88.82,42965
1724191200000,88.81,88.8484,88.68,88.8408,7072
1724194800000,88.8102,88.9,88.8102,88.9,1086
1724227200000,88.86,88.97,88.81,88.97,665
