ts,open,high,low,close,volume
1723473600000,89.83,89.84,89.67,89.835,155423
1723473900000,89.83,89.835,89.685,89.83,249338
1723474200000,89.828,89.965,89.78,89.96,159809
1723474500000,89.955,90.09,89.945,90.03,267749
1723474800000,90.03,90.08,89.955,89.985,228631
1723475100000,89.985,89.995,89.85,89.905,166003
1723475400000,89.91,89.95,89.815,89.865,128818
1723475700000,89.87,89.93,89.78,89.835,126879
1723476000000,89.83,89.86,89.58,89.595,158261
1723476300000,89.6,89.795,89.57,89.72,176680
1723476600000,89.71,89.74,89.61,89.62,186291
1723476900000,89.62,89.71,89.605,89.67,141198
1723477200000,89.665,89.67,89.51,89.665,131785
1723477500000,89.67,89.685,89.53,89.625,112192
1723477800000,89.62,89.775,89.59,89.77,101777
1723478100000,89.765,89.83,89.705,89.82,135722
1723478400000,89.83,89.855,89.77,89.845,115516
1723478700000,89.845,89.845,89.6521,89.7288,219964
1723479000000,89.725,89.725,89.595,89.685,86361
1723479300000,89.68,89.775,89.63,89.74,78108
1723479600000,89.73,89.78,89.68,89.74,108314
1723479900000,89.74,89.745,89.62,89.655,67160
1723480200000,89.655,89.66,89.58,89.58,65742
1723480500000,89.585,89.635,89.54,89.55,207540
1723480800000,89.55,89.59,89.52,89.54,59845
1723481100000,89.535,89.585,89.525,89.565,142385
1723481400000,89.555,89.67,89.53,89.66,117583
1723481700000,89.6699,89.6699,89.52,89.54,74372
1723482000000,89.54,89.54,89.4201,89.47,134938
1723482300000,89.47,89.47,89.375,89.445,185690
1723482600000,89.44,89.51,89.41,89.505,65726
1723482900000,89.505,89.57,89.505,89.54,49056
1723483200000,89.53,89.63,89.5,89.52,83495
1723483500000,89.525,89.555,89.43,89.518,62957
1723483800000,89.52,89.635,89.52,89.6128,61171
1723484100000,89.62,89.6482,89.53,89.585,65207
1723484400000,89.58,89.605,89.495,89.585,229464
1723484700000,89.585,89.74,89.57,89.64,235758
1723485000000,89.645,89.69,89.605,89.665,315337
1723485300000,89.66,89.7,89.58,89.69,143486
1723485600000,89.685,89.745,89.66,89.71,170935
1723485900000,89.705,89.72,89.67,89.71,237274
1723486200000,89.71,89.76,89.66,89.75,99792
1723486500000,89.75,89.76,89.615,89.645,95660
1723486800000,89.64,89.75,89.59,89.73,136356
1723487100000,89.72,89.755,89.67,89.68,111423
1723487400000,89.68,89.68,89.535,89.55,124670
1723487700000,89.55,89.695,89.55,89.66,99177
1723488000000,89.65,89.71,89.6,89.705,243553
1723488300000,89.71,89.735,89.62,89.67,95006
1723488600000,89.66,89.725,89.66,89.705,107712
1723488900000,89.7,89.74,89.67,89.73,106147
1723489200000,89.725,89.76,89.69,89.73,146964
