ts,open,high,low,close,volume
1723474800000,208.0,208.91,206.5,208.1,648483
1723478400000,208.11,208.23,206.94,207.0,425585
1723482000000,206.97,207.98,206.66,207.165,382021
1723485600000,207.1636,207.5,206.87,207.43,250429
1723489200000,207.4,207.46,206.56,207.35,885701
1723492800000,207.31,207.39,207.09,207.14,272920
1723496400000,207.19,207.2799,207.1,207.2681,5495
1723503600000,207.39,207.39,207.0,207.0,1576
1723536000000,208.98,208.98,208.98,208.98,376
1723543200000,208.47,208.47,208.47,208.47,211
1723546800000,208.27,208.44,208.27,208.44,779
1723550400000,208.27,210.24,208.0,210.0,21295
1723554000000,210.09,211.57,209.62,211.37,731241
1723557600000,211.36,211.9,210.53,211.74,701524
1723561200000,211.79,212.45,211.66,212.11,526865
1723564800000,212.11,213.21,211.91,213.21,439032
1723568400000,213.225,213.42,212.17,213.03,692941
1723572000000,213.02,213.52,212.87,213.46,372398
1723575600000,213.46,213.745,212.65,213.66,1157143
1723579200000,213.68,214.11,213.6,213.76,328146
1723582800000,213.7,214.44,213.5,213.68,17286
1723586400000,213.8,213.9,213.6031,213.9,3772
1723622400000,214.07,214.07,213.57,213.57,1178
1723626000000,214.01,214.07,214.01,214.07,901
1723629600000,214.2,214.26,214.2,214.26,839
1723633200000,214.45,214.5,214.32,214.48,7674
1723636800000,214.5,215.05,213.5,214.85,54490
1723640400000,214.7,215.55,212.55,212.98,714536
1723644000000,212.96,214.27,211.96,214.15,460560
1723647600000,214.16,215.94,213.95,215.87,424186
1723651200000,215.8,215.8717,213.56,214.22,626383
1723654800000,214.19,214.77,214.03,214.27,161862
1723658400000,214.23,214.8,213.96,214.78,685484
1723662000000,214.77,215.26,213.88,214.82,1133408
1723665600000,214.85,215.6199,214.71,215.3,182450
1723669200000,215.3,215.3,215.3,215.3,523
1723672800000,215.5,215.5,215.5,215.5,770
1723676400000,215.0,215.0,215.0,215.0,1204
1723708800000,215.22,215.22,215.22,215.22,281
1723712400000,215.5,215.6,215.5,215.6,382
1723716000000,215.65,215.65,215.65,215.65,200
1723719600000,214.91,215.39,214.91,215.33,7938
1723723200000,215.38,217.7,215.13,217.51,41208
1723726800000,217.55,219.32,217.16,219.32,627859
1723730400000,219.33,219.9899,218.44,219.47,623391
1723734000000,219.48,220.4396,219.33,220.18,510834
1723737600000,220.16,220.855,220.03,220.35,285067
1723741200000,220.32,221.05,220.1,221.035,374654
1723744800000,221.045,221.25,220.7,220.935,476751
1723748400000,220.92,221.13,220.39,221.11,1449109
1723752000000,221.03,221.2,220.78,220.85,326977
1723755600000,220.6,220.7,220.6,220.65,6107
1723762800000,221.32,221.5,221.32,221.5,1028
1723795200000,221.8,221.8,221.8,221.8,651
1723802400000,221.59,221.59,221.59,221.59,474
1723806000000,221.19,221.19,221.0,221.0,3452
1723809600000,221.25,221.25,219.18,219.58,28287
1723813200000,219.67,220.6494,219.26,219.885,499441
1723816800000,219.84,221.5,219.63,220.14,424072
1723820400000,220.11,220.78,219.76,220.71,389125
1723824000000,220.682,221.825,220.54,221.68,466713
1723827600000,221.73,221.74,221.15,221.4975,348862
1723831200000,221.48,221.55,221.03,221.49,206450
1723834800000,221.47,221.52,220.8,221.41,832863
1723838400000,221.4,221.62,221.1,221.1,129461
1723842000000,221.359,221.359,221.34,221.34,320
1723849200000,221.35,221.35,221.35,221.35,1824
1724054400000,221.18,221.18,220.53,220.56,1561
1724058000000,220.35,220.35,220.35,220.35,601
1724061600000,220.89,220.89,220.89,220.89,203
1724065200000,220.98,221.25,220.97,221.25,2614
1724068800000,221.25,221.7,221.25,221.54,2471
1724072400000,221.59,221.59,220.28,221.01,672000
1724076000000,221.02,221.9012,219.98,221.75,409201
1724079600000,221.77,222.52,221.52,221.94,439425
1724083200000,221.97,222.675,221.67,222.55,409222
1724086800000,222.53,223.28,222.4,223.275,274483
1724090400000,223.27,224.17,223.25,223.89,649626
1724094000000,223.87,225.06,223.69,225.05,2890367
1724097600000,225.05,225.2,224.99,225.1,203971
1724101200000,224.7902,225.056,224.7902,225.05,499239
1724104800000,225.15,225.15,224.82,224.83,2025
1724108400000,224.75,224.75,224.75,224.75,515
1724140800000,225.56,225.56,225.43,225.44,2016
1724144400000,225.24,225.42,225.24,225.42,2282
1724151600000,225.07,225.35,225.07,225.3,3526
1724155200000,225.2,225.32,224.6901,224.6901,16701
1724158800000,224.81,225.81,224.24,225.64,492717
1724162400000,225.66,225.76,222.94,223.65,702471
1724166000000,223.74,224.65,223.44,224.64,346840
1724169600000,224.66,224.688,223.57,223.6,592616
1724173200000,223.6,224.33,223.2,224.24,229620
1724176800000,224.205,225.24,224.1,225.01,391532
1724180400000,224.985,225.085,224.14,224.26,715243
1724184000000,224.26,224.3,224.03,224.12,65595
1724187600000,224.06,224.06,223.31,223.41,2185
1724191200000,224.26,224.26,224.26,224.26,12078
1724194800000,223.5,223.69,223.5,223.69,1533
1724227200000,224.21,224.21,224.21,224.21,478
1724234400000,224.3,224.53,224.3,224.53,1327
1724238000000,224.57,224.65,224.57,224.65,1740
1724241600000,224.76,224.97,224.65,224.73,5057
1724245200000,224.73,225.02,224.01,224.71,351554
1724248800000,224.78,226.36,224.0,224.5,642706
1724252400000,224.43,225.21,224.08,224.38,502377
1724256000000,224.38,225.08,223.69,225.01,541644
1724259600000,225.02,225.34,224.79,225.26,249261
1724263200000,225.3,226.18,225.19,225.41,415920
1724266800000,225.43,225.72,224.53,225.58,759986
1724270400000,225.58,225.65,225.41,225.41,260102
1724274000000,225.5,225.87,225.5,225.87,1872
1724277600000,225.87,225.87,225.87,225.87,400
1724281200000,225.8,225.8,225.71,225.71,626
1724320800000,225.89,225.89,225.89,225.89,100
1724324400000,226.41,226.77,226.41,226.73,19284
1724328000000,226.8,226.98,226.3001,226.79,19740
1724331600000,226.72,227.37,226.07,226.46,410095
1724335200000,226.51,226.55,224.69,224.93,325780
1724338800000,224.9199,225.41,221.62,222.35,658095
1724342400000,222.355,223.98,222.14,222.28,469207
1724346000000,222.32,222.81,220.65,220.975,415763
1724349600000,221.01,221.86,220.64,220.9,472801
1724353200000,220.93,221.75,219.93,220.47,1359256
1724356800000,220.39,221.23,220.23,221.04,381246
1724360400000,221.1,221.23,221.02,221.23,2489
1724367600000,221.42,221.42,221.25,221.31,3049
1724400000000,222.15,222.15,222.15,222.15,857
1724403600000,222.25,222.25,222.25,222.25,426
1724410800000,222.57,222.69,222.49,222.52,4623
1724414400000,222.49,222.65,222.35,222.54,10324
1724418000000,222.62,222.99,222.0,222.96,545965
1724421600000,222.99,224.935,221.19,222.66,956320
1724425200000,222.645,223.94,222.13,222.72,507484
1724428800000,222.72,222.74,221.1,222.2042,1192024
1724432400000,222.2,223.36,221.96,222.83,270008
1724436000000,222.84,223.46,222.76,223.07,319698
1724439600000,223.04,224.11,222.58,223.9,1247082
1724443200000,223.96,223.96,223.5,223.54,274284
1724446800000,223.76,223.76,223.76,223.76,3883
1724450400000,223.54,223.54,223.54,223.54,150
1724454000000,223.8,223.8,223.8,223.8,319
1724659200000,224.37,224.65,224.37,224.65,976
1724670000000,224.47,224.47,224.0,224.0,6444
1724673600000,224.44,224.44,223.5828,223.96,7234
1724677200000,223.89,224.6025,223.0711,223.2039,442099
1724680800000,223.2,223.29,220.02,221.65,630478
1724684400000,221.62,222.11,220.83,221.0,376794
1724688000000,221.0056,222.07,220.73,221.63,247532
1724691600000,221.63,221.67,220.37,220.495,248271
1724695200000,220.54,221.68,220.17,221.68,266892
1724698800000,221.64,221.74,220.7,221.15,678334
1724702400000,221.15,221.23,220.62,220.62,224812
1724709600000,220.85,220.85,220.85,220.85,200
1724713200000,220.9,220.9,220.85,220.85,1052
1724752800000,221.44,221.44,220.84,221.13,2810
1724756400000,221.07,221.37,220.76,221.18,12827
1724760000000,220.84,221.34,219.86,220.04,13739
1724763600000,219.92,221.02,218.7,220.5485,523695
1724767200000,220.63,222.3,220.355,222.26,506560
1724770800000,222.29,222.61,221.08,221.6,389240
1724774400000,221.605,222.21,221.38,221.88,571371
1724778000000,221.98,222.95,221.9,222.89,220596
1724781600000,222.87,222.96,222.37,222.61,441085
1724785200000,222.6,222.83,222.21,222.55,897114
1724788800000,222.49,222.86,222.05,222.56,243710
1724792400000,222.69,222.7,222.01,222.7,1447
1724796000000,222.49,222.49,222.48,222.48,200
1724799600000,221.73,221.73,221.73,221.73,431
1724839200000,222.95,222.95,222.95,222.95,240
1724842800000,222.78,222.78,222.22,222.22,315
1724846400000,222.5,222.79,222.5,222.6,4107
1724850000000,222.6,222.63,220.97,221.29,661254
1724853600000,221.35,221.825,219.51,219.51,404652
1724857200000,219.49,219.5,217.64,219.36,748401
1724860800000,219.34,219.8499,218.475,219.75,597367
1724864400000,219.73,219.89,217.72,217.75,628069
1724868000000,217.81,219.63,217.58,219.57,403440
1724871600000,219.55,220.24,219.32,219.4,906164
1724875200000,219.42,220.26,215.95,217.86,126981
1724878800000,216.95,216.95,215.0,215.0,9624
1724882400000,215.8,215.8,214.7,215.42,1677
1724886000000,215.0,215.0,214.6,214.75,2440
1724918400000,217.28,217.8,217.28,217.8,3806
1724922000000,218.1,219.65,218.1,219.65,2978
1724925600000,219.7,219.7,218.91,218.94,14618
1724929200000,219.0,219.2,218.0,219.03,14039
1724932800000,218.0,219.28,216.96,218.93,13357
1724936400000,219.2,222.11,218.91,221.96,952505
1724940000000,222.0,222.57,219.7,221.455,740123
1724943600000,221.46,221.99,220.69,221.11,712744
1724947200000,221.06,221.71,220.75,221.095,750040
1724950800000,221.08,221.09,220.3,221.0,524133
1724954400000,220.98,220.98,216.88,217.745,1268291
1724958000000,217.74,218.63,216.99,217.43,1532192
1724961600000,217.44,218.3,217.44,217.61,97328
1724965200000,217.801,217.82,217.791,217.82,541
1724968800000,218.0,218.0,218.0,218.0,200
1724972400000,217.9,217.9,217.9,217.9,200
1725015600000,219.52,219.67,219.24,219.24,2971
1725019200000,219.49,219.59,218.99,218.99,10598
1725022800000,219.03,220.83,219.03,220.7,803572
1725026400000,220.68,221.18,218.71,218.81,821834
1725030000000,218.76,219.23,217.83,218.425,396681
1725033600000,218.43,218.77,217.44,218.49,366036
1725037200000,218.51,218.92,217.91,218.0,457347
1725040800000,218.02,219.22,217.83,219.09,298108
1725044400000,219.03,220.5,218.54,220.29,1280578
1725048000000,220.33,220.55,220.19,220.38,582090
1725051600000,220.25,220.25,220.25,220.25,214
1725055200000,220.25,220.31,220.25,220.31,338
1725058800000,220.33,220.33,220.2,220.2,203
1725354000000,218.35,218.78,217.97,217.97,1466
1725357600000,217.99,218.49,217.97,218.49,12030
1725361200000,218.43,218.44,218.25,218.25,3749
1725364800000,218.4799,220.33,217.89,218.33,8339
1725368400000,218.17,218.44,215.68,216.14,1178096
1725372000000,216.1,216.45,212.94,212.96,1401764
1725375600000,212.97,214.16,212.68,212.71,1000296
1725379200000,212.73,213.2,212.15,212.179,537910
1725382800000,212.16,212.64,211.58,211.59,393463
1725386400000,211.67,211.68,210.46,210.87,584916
1725390000000,210.87,211.34,209.01,210.23,1946472
1725393600000,210.21,210.6,209.35,209.35,266109
1725397200000,209.36,210.21,209.04,209.84,35474
1725400800000,209.66,209.66,209.1,209.1495,755
1725404400000,209.579,209.579,209.27,209.27,3252
1725436800000,208.11,208.11,208.11,208.11,384
1725440400000,209.0,209.17,208.94,209.17,1428
1725444000000,208.97,208.97,208.12,208.42,8944
1725447600000,208.41,208.41,208.0,208.38,5766
1725451200000,208.0,208.7,207.5,208.7,7247
1725454800000,208.73,209.91,207.555,209.25,905004
1725458400000,209.16,211.715,207.42,211.62,1089784
1725462000000,211.64,212.06,209.905,210.26,510528
1725465600000,210.3,211.565,209.89,211.2,482346
1725469200000,211.22,211.46,210.71,210.79,340339
1725472800000,210.82,210.97,209.39,209.44,532482
1725476400000,209.44,210.55,208.97,209.6,1899634
1725480000000,209.67,209.67,209.23,209.54,349397
1725483600000,209.86,209.89,209.67,209.89,3372
1725487200000,210.6,210.6,210.12,210.12,206
1725490800000,209.8,209.8,209.8,209.8,1222
1725523200000,210.12,210.12,210.12,210.12,100
1725526800000,209.81,209.81,209.0,209.0,7485
1725530400000,209.33,209.46,209.32,209.46,3783
1725534000000,209.54,209.67,208.81,208.81,29372
1725537600000,209.68,209.68,207.45,208.38,58116
1725541200000,208.61,210.86,207.92,210.73,603398
1725544800000,210.9,211.95,209.74,209.79,631656
1725548400000,209.82,209.9,207.97,208.2899,671698
1725552000000,208.33,209.54,208.299,209.02,328291
1725555600000,209.02,210.02,208.39,209.99,426968
1725559200000,210.02,210.2,209.46,209.63,248606
1725562800000,209.58,209.78,208.435,209.38,1064813
1725566400000,209.35,209.7,208.52,208.53,210494
1725570000000,208.25,209.35,208.25,208.69,8110
1725609600000,206.96,206.96,206.01,206.01,5829
1725613200000,206.48,206.48,206.48,206.48,300
1725616800000,206.48,206.54,206.39,206.4,10458
1725620400000,206.61,207.23,206.59,207.21,7805
1725624000000,206.9996,209.0,206.723,208.8,32161
1725627600000,209.04,209.75,206.685,206.72,763860
1725631200000,206.67,207.45,203.69,204.14,1378214
1725634800000,204.14,205.716,203.15,203.36,1002581
1725638400000,203.3,203.93,202.98,203.3305,418604
1725642000000,203.27,204.7,203.19,203.59,420529
1725645600000,203.65,203.99,203.05,203.87,387091
1725649200000,203.86,204.76,203.602,203.92,1507758
1725652800000,203.92,204.0,202.62,202.63,256055
1725656400000,202.98,203.01,202.7208,202.7208,4074
1725660000000,203.45,203.47,203.2,203.47,11901
1725663600000,203.5,203.5,203.25,203.25,5476
1725868800000,205.51,206.1,205.0,205.77,4088
1725876000000,205.99,206.35,205.9,205.9,3991
1725879600000,205.8,206.3,205.8,205.85,15348
1725883200000,206.0,206.0,205.62,205.81,14889
1725886800000,205.98,207.37,205.85,206.96,682035
1725890400000,207.01,207.43,204.68,204.68,735370
1725894000000,204.66,206.55,204.54,206.55,438245
1725897600000,206.545,207.32,206.38,207.19,428876
1725901200000,207.2,207.49,206.27,206.35,479625
1725904800000,206.36,206.42,205.56,206.16,553676
1725908400000,206.15,207.36,205.78,207.29,1897091
1725912000000,207.26,208.42,207.2,208.17,176358
1725915600000,208.24,208.24,208.24,208.24,100
1725919200000,208.4364,208.4364,208.17,208.17,1109
1725955200000,207.82,207.82,207.5,207.5,7291
1725966000000,207.79,207.79,207.79,207.79,300
1725969600000,208.2,208.8,208.2,208.8,4736
1725973200000,208.74,209.9,208.35,209.07,666340
1725976800000,209.06,209.845,208.1,208.72,664372
1725980400000,208.74,209.36,207.06,207.06,655429
1725984000000,207.08,208.21,206.7,207.76,459419
1725987600000,207.76,208.97,207.75,208.85,513528
1725991200000,208.89,209.7198,208.89,209.45,474734
1725994800000,209.44,210.81,209.38,210.29,1487988
1725998400000,210.36,210.4,210.07,210.07,123860
1726005600000,210.04,210.04,210.0,210.0,355
1726041600000,210.27,210.67,209.38,209.4,7054
1726045200000,209.31,209.6,209.31,209.6,4178
1726048800000,209.8,209.8,209.76,209.76,2800
1726052400000,209.62,210.09,209.62,209.92,10777
1726056000000,209.38,210.51,209.24,210.21,29772
1726059600000,211.1,212.06,210.32,210.68,876553
1726063200000,210.67,210.98,207.74,208.63,919918
1726066800000,208.56,211.04,208.15,210.982,522444
1726070400000,210.98,212.9,210.89,212.4,607454
1726074000000,212.43,214.74,212.41,214.43,491811
1726077600000,214.43,216.23,214.3,215.6303,966105
1726081200000,215.54,217.87,215.18,217.375,1634942
1726084800000,217.54,217.6,217.18,217.38,298047
1726088400000,217.22,217.22,217.22,217.22,1004
1726092000000,217.2,217.2,216.7,216.78,687
1726095600000,217.49,217.49,217.02,217.02,746
1726128000000,218.08,218.23,217.91,218.23,656
1726131600000,218.2,218.2,218.18,218.18,268
1726138800000,217.97,217.97,217.8,217.8,1039
1726142400000,217.8,219.84,217.4219,217.59,20780
1726146000000,217.29,217.6,215.85,217.24,606459
1726149600000,217.26,218.95,216.76,217.49,861608
1726153200000,217.57,218.81,216.8801,217.16,501101
1726156800000,217.15,218.8199,217.13,218.75,658948
1726160400000,218.78,220.25,218.641,220.13,485551
1726164000000,220.15,220.27,218.45,219.735,483488
1726167600000,219.66,219.84,218.88,219.41,1476474
1726171200000,219.34,219.54,219.09,219.3,199405
1726174800000,219.02,219.02,219.0,219.0,300
1726182000000,219.5,220.0,219.5,220.0,526
1726218000000,219.66,219.86,219.66,219.86,3468
1726228800000,219.81,219.88,219.42,219.7,8046
1726232400000,219.2405,220.48,219.2405,219.51,570776
1726236000000,219.53,220.38,218.72,220.21,722528
1726239600000,220.22,220.55,219.9,220.27,310915
1726243200000,220.27,220.68,219.76,220.66,447003
1726246800000,220.65,220.99,220.48,220.68,220886
1726250400000,220.685,220.841,219.97,220.235,285753
1726254000000,220.23,220.73,219.9942,220.47,1056310
1726257600000,220.44,220.68,220.32,220.32,392845
1726261200000,220.43,220.43,220.43,220.43,213
1726264800000,220.42,220.42,220.42,220.42,300
1726268400000,220.39,220.39,220.39,220.39,1035
1726480800000,220.15,220.16,219.7,219.7,8306
1726484400000,219.64,219.64,219.01,219.01,7873
1726488000000,219.88,219.88,218.85,218.91,56011
1726491600000,219.02,219.99,217.57,219.54,718864
1726495200000,219.45,220.3,218.19,218.7,534327
1726498800000,218.66,219.58,218.21,218.91,337090
1726502400000,218.96,219.07,218.23,218.96,207317
1726506000000,218.98,219.73,218.77,219.62,155230
1726509600000,219.62,219.6299,218.99,219.36,280727
1726513200000,219.37,219.65,219.07,219.58,1044498
1726516800000,219.6,219.6,219.21,219.21,94644
1726520400000,219.45,219.45,219.45,219.45,553
