ts,open,high,low,close,volume
1723474800000,174.36,174.53,173.07,174.14,294109
1723478400000,174.11,174.29,173.48,173.49,220748
1723482000000,173.44,173.94,173.23,173.6244,311501
1723485600000,173.635,173.865,173.55,173.69,190357
1723489200000,173.65,173.71,173.175,173.66,693944
1723492800000,173.65,173.67,173.65,173.65,59610
1723496400000,173.43,173.43,173.43,173.43,100
1723500000000,173.5,173.5,173.5,173.5,100
1723503600000,173.59,173.59,173.59,173.59,100
1723543200000,173.71,173.71,173.71,173.71,3756
1723550400000,173.78,174.61,173.78,174.61,5520
1723554000000,174.51,175.99,174.09,175.505,426360
1723557600000,175.54,176.39,175.24,176.07,356048
1723561200000,176.08,176.57,175.81,176.51,255089
1723564800000,176.51,177.66,176.38,177.55,249005
1723568400000,177.55,177.88,177.29,177.67,331493
1723572000000,177.68,177.92,177.389,177.88,241835
1723575600000,177.89,178.16,177.43,177.99,860272
1723579200000,178.0,178.0,178.0,178.0,170674
1723640400000,177.98,178.515,177.34,177.41,376432
1723644000000,177.44,177.62,176.47,177.1,386625
1723647600000,177.09,177.75,176.86,177.69,227315
1723651200000,177.63,177.78,176.34,176.93,221015
1723654800000,176.82,177.33,176.78,177.16,238877
1723658400000,177.14,177.65,176.88,177.6101,191878
1723662000000,177.605,177.605,176.9,177.03,669414
1723665600000,177.05,177.55,177.05,177.05,72557
1723723200000,178.75,180.1,178.66,180.0,10188
1723726800000,180.1,181.65,180.1,181.15,523140
1723730400000,181.15,181.9,180.7,181.8,429956
1723734000000,181.8503,182.3,181.78,181.94,268952
1723737600000,181.94,182.26,181.75,182.02,307109
1723741200000,182.01,182.6,181.81,182.48,186730
1723744800000,182.48,182.61,182.23,182.52,220575
1723748400000,182.505,182.97,182.35,182.74,1004751
1723752000000,182.7,182.7,182.5,182.5,150571
1723762800000,182.97,182.97,182.97,182.97,116
1723798800000,183.16,183.16,183.16,183.16,100
1723802400000,182.87,182.87,182.87,182.87,300
1723806000000,182.73,182.73,182.73,182.73,450
1723809600000,181.96,181.96,181.96,181.96,1003
1723813200000,181.85,183.37,181.85,183.18,268877
1723816800000,183.12,183.79,182.68,182.83,311779
1723820400000,182.86,183.4,182.66,183.25,204366
1723824000000,183.245,183.89,183.08,183.79,299169
1723827600000,183.84,183.85,183.48,183.7,282861
1723831200000,183.72,183.72,183.23,183.41,220632
1723834800000,183.42,183.42,183.09,183.17,630560
1723838400000,183.13,183.13,183.13,183.13,137461
1724072400000,183.88,184.33,183.421,183.7,213324
1724076000000,183.7,184.7,183.65,184.49,308302
1724079600000,184.53,184.72,184.12,184.27,241997
1724083200000,184.25,185.065,184.13,184.95,134031
1724086800000,184.99,185.02,184.75,184.99,169695
1724090400000,184.99,185.475,184.89,185.295,307251
1724094000000,185.295,185.43,185.03,185.41,703783
1724097600000,185.38,185.48,184.98,185.46,199221
1724155200000,186.03,186.03,186.03,186.03,116
1724158800000,185.37,186.3,185.37,186.1,290417
1724162400000,186.1,186.1,184.72,184.99,226014
1724166000000,184.98,185.68,184.87,185.67,167636
1724169600000,185.67,185.708,184.93,184.94,166339
1724173200000,184.92,185.13,184.67,185.04,538895
1724176800000,185.025,185.42,184.99,185.28,144924
1724180400000,185.27,185.5,185.155,185.21,610861
1724184000000,185.21,185.21,185.0,185.0,186317
1724238000000,185.7,186.0,185.7,186.0,1460
1724245200000,186.4,187.71,186.4,187.43,327688
1724248800000,187.45,187.93,186.44,186.89,392123
1724252400000,186.81,187.2,186.55,186.71,170033
1724256000000,186.65,187.3,186.31,187.252,137284
1724259600000,187.24,187.59,187.18,187.47,136955
1724263200000,187.46,187.91,187.34,187.56,225427
1724266800000,187.57,187.65,187.09,187.56,645490
1724270400000,187.55,187.84,186.99,186.99,222448
1724274000000,187.87,187.87,187.87,187.87,100
1724331600000,188.2,188.2,187.03,187.25,237814
1724335200000,187.25,187.37,186.51,186.66,294221
1724338800000,186.67,186.9,185.54,185.72,483384
1724342400000,185.68,186.42,185.5,185.61,282596
1724346000000,185.61,185.89,184.65,184.78,247643
1724349600000,184.78,185.38,184.67,184.89,138279
1724353200000,184.86,185.29,183.97,184.33,995028
1724356800000,184.31,185.21,184.31,184.86,88182
1724418000000,185.75,186.2772,185.72,185.89,231195
1724421600000,185.93,187.85,185.92,186.89,1002394
1724425200000,186.89,187.94,186.43,187.11,285936
1724428800000,187.08,187.08,186.0,186.73,289465
